 frequency              v(net6)                v(net6)               
 1.000000000000000e+00  6.305531070504838e-01 -1.792292434941900e-06 
 1.258925411794167e+00  6.305531070478383e-01 -2.256362491706411e-06 
 1.584893192461114e+00  6.305531070436452e-01 -2.840592079011662e-06 
 1.995262314968880e+00  6.305531070369998e-01 -3.576093552775593e-06 
 2.511886431509581e+00  6.305531070264678e-01 -4.502035048475817e-06 
 3.162277660168380e+00  6.305531070097754e-01 -5.667726327181176e-06 
 3.981071705534974e+00  6.305531069833197e-01 -7.135244700117808e-06 
 5.011872336272725e+00  6.305531069413901e-01 -8.982740871818419e-06 
 6.309573444801935e+00  6.305531068749367e-01 -1.130860075003775e-05 
 7.943282347242818e+00  6.305531067696143e-01 -1.423668485394896e-05 
 1.000000000000001e+01  6.305531066026906e-01 -1.792292433813524e-05 
 1.258925411794168e+01  6.305531063381337e-01 -2.256362489455000e-05 
 1.584893192461115e+01  6.305531059188394e-01 -2.840592074519505e-05 
 1.995262314968881e+01  6.305531052543021e-01 -3.576093543812561e-05 
 2.511886431509582e+01  6.305531042010823e-01 -4.502035030592216e-05 
 3.162277660168382e+01  6.305531025318410e-01 -5.667726291498702e-05 
 3.981071705534977e+01  6.305530998862721e-01 -7.135244628921910e-05 
 5.011872336272729e+01  6.305530956933280e-01 -8.982740729763927e-05 
 6.309573444801940e+01  6.305530890479591e-01 -1.130860046660175e-04 
 7.943282347242825e+01  6.305530785157599e-01 -1.423668428841982e-04 
 1.000000000000001e+02  6.305530618233495e-01 -1.792292320975623e-04 
 1.258925411794169e+02  6.305530353676638e-01 -2.256362264313798e-04 
 1.584893192461116e+02  6.305529934382315e-01 -2.840591625303776e-04 
 1.995262314968883e+02  6.305529269845692e-01 -3.576092647509429e-04 
 2.511886431509584e+02  6.305528216626382e-01 -4.502033242232613e-04 
 3.162277660168385e+02  6.305526547386904e-01 -5.667722723253024e-04 
 3.981071705534980e+02  6.305523901822221e-01 -7.135237509338445e-04 
 5.011872336272732e+02  6.305519708888792e-01 -8.982726524335778e-04 
 6.309573444801945e+02  6.305513063547248e-01 -1.130857212307299e-03 
 7.943282347242831e+02  6.305502531416077e-01 -1.423662773572946e-03 
 1.000000000000002e+03  6.305485839176874e-01 -1.792281037257140e-03 
 1.258925411794170e+03  6.305459383920839e-01 -2.256339750419981e-03 
 1.584893192461117e+03  6.305417455568145e-01 -2.840546704446917e-03 
 1.995262314968884e+03  6.305351004618420e-01 -3.576003019461034e-03 
 2.511886431509586e+03  6.305245689500070e-01 -4.501854413435604e-03 
 3.162277660168386e+03  6.305078782665196e-01 -5.667365921338503e-03 
 3.981071705534981e+03  6.304814269179095e-01 -7.134525622624255e-03 
 5.011872336272734e+03  6.304395083794979e-01 -8.981306208029453e-03 
 6.309573444801948e+03  6.303730820788305e-01 -1.130573848640819e-02 
 7.943282347242834e+03  6.302678288637199e-01 -1.423097473121159e-02 
 1.000000000000003e+04  6.301010774721840e-01 -1.791153381341932e-02 
 1.258925411794171e+04  6.298369542452280e-01 -2.254090624167206e-02 
 1.584893192461118e+04  6.294187483583873e-01 -2.836061771149298e-02 
 1.995262314968885e+04  6.287569426058061e-01 -3.567062811189901e-02 
 2.511886431509587e+04  6.277105703566486e-01 -4.484042884045540e-02 
 3.162277660168388e+04  6.260584801066919e-01 -5.631910828537307e-02 
 3.981071705534984e+04  6.234557953492366e-01 -7.064046131569726e-02 
 5.011872336272738e+04  6.193697956371278e-01 -8.841504077995833e-02 
 6.309573444801952e+04  6.129900223270641e-01 -1.102936031530721e-01 
 7.943282347242841e+04  6.031131922185985e-01 -1.368744708853579e-01 
 1.000000000000003e+05  5.880220048233118e-01 -1.685119661278675e-01 
 1.258925411794172e+05  5.654203624238990e-01 -2.049740034652824e-01 
 1.584893192461119e+05  5.325649561214794e-01 -2.449253921577323e-01 
 1.995262314968887e+05  4.868167774366307e-01 -2.853413675096356e-01 
 2.511886431509589e+05  4.267938682473307e-01 -3.212307564622494e-01 
 3.162277660168391e+05  3.539014239209337e-01 -3.463196817295615e-01 
 3.981071705534988e+05  2.732531875392786e-01 -3.550826976159817e-01 
 5.011872336272742e+05  1.927229290572500e-01 -3.453107985214792e-01 
 6.309573444801958e+05  1.201413604892163e-01 -3.193030413593954e-01 
 7.943282347242847e+05  6.052499589688311e-02 -2.826124222042651e-01 
 1.000000000000004e+06  1.518847362003261e-02 -2.414675409950834e-01 
 1.258925411794172e+06 -1.729802308374786e-02 -2.007731174414235e-01 
 1.584893192461120e+06 -3.957805890508012e-02 -1.634594694844009e-01 
 1.995262314968888e+06 -5.437036337199779e-02 -1.307741819790365e-01 
 2.511886431509591e+06 -6.392850348440780e-02 -1.028687123010291e-01 
 3.162277660168393e+06 -6.991202141703305e-02 -7.930997611395860e-02 
 3.981071705534990e+06 -7.344630122393316e-02 -5.941881739369193e-02 
 5.011872336272745e+06 -7.523304166944561e-02 -4.246246861696922e-02 
 6.309573444801961e+06 -7.565046523546147e-02 -2.775631727883746e-02 
 7.943282347242852e+06 -7.482718316318546e-02 -1.472270124010405e-02 
