 frequency      v(net6)        v(net6)       
 1.0000000e+00  6.3055311e-01 -1.7922924e-06 
 1.2589254e+00  6.3055311e-01 -2.2563625e-06 
 1.5848932e+00  6.3055311e-01 -2.8405921e-06 
 1.9952623e+00  6.3055311e-01 -3.5760936e-06 
 2.5118864e+00  6.3055311e-01 -4.5020350e-06 
 3.1622777e+00  6.3055311e-01 -5.6677263e-06 
 3.9810717e+00  6.3055311e-01 -7.1352447e-06 
 5.0118723e+00  6.3055311e-01 -8.9827409e-06 
 6.3095734e+00  6.3055311e-01 -1.1308601e-05 
 7.9432823e+00  6.3055311e-01 -1.4236685e-05 
 1.0000000e+01  6.3055311e-01 -1.7922924e-05 
 1.2589254e+01  6.3055311e-01 -2.2563625e-05 
 1.5848932e+01  6.3055311e-01 -2.8405921e-05 
 1.9952623e+01  6.3055311e-01 -3.5760935e-05 
 2.5118864e+01  6.3055310e-01 -4.5020350e-05 
 3.1622777e+01  6.3055310e-01 -5.6677263e-05 
 3.9810717e+01  6.3055310e-01 -7.1352446e-05 
 5.0118723e+01  6.3055310e-01 -8.9827407e-05 
 6.3095734e+01  6.3055309e-01 -1.1308600e-04 
 7.9432823e+01  6.3055308e-01 -1.4236684e-04 
 1.0000000e+02  6.3055306e-01 -1.7922923e-04 
 1.2589254e+02  6.3055304e-01 -2.2563623e-04 
 1.5848932e+02  6.3055299e-01 -2.8405916e-04 
 1.9952623e+02  6.3055293e-01 -3.5760926e-04 
 2.5118864e+02  6.3055282e-01 -4.5020332e-04 
 3.1622777e+02  6.3055265e-01 -5.6677227e-04 
 3.9810717e+02  6.3055239e-01 -7.1352375e-04 
 5.0118723e+02  6.3055197e-01 -8.9827265e-04 
 6.3095734e+02  6.3055131e-01 -1.1308572e-03 
 7.9432823e+02  6.3055025e-01 -1.4236628e-03 
 1.0000000e+03  6.3054858e-01 -1.7922810e-03 
 1.2589254e+03  6.3054594e-01 -2.2563398e-03 
 1.5848932e+03  6.3054175e-01 -2.8405467e-03 
 1.9952623e+03  6.3053510e-01 -3.5760030e-03 
 2.5118864e+03  6.3052457e-01 -4.5018544e-03 
 3.1622777e+03  6.3050788e-01 -5.6673659e-03 
 3.9810717e+03  6.3048143e-01 -7.1345256e-03 
 5.0118723e+03  6.3043951e-01 -8.9813062e-03 
 6.3095734e+03  6.3037308e-01 -1.1305738e-02 
 7.9432823e+03  6.3026783e-01 -1.4230975e-02 
 1.0000000e+04  6.3010108e-01 -1.7911534e-02 
 1.2589254e+04  6.2983695e-01 -2.2540906e-02 
 1.5848932e+04  6.2941875e-01 -2.8360618e-02 
 1.9952623e+04  6.2875694e-01 -3.5670628e-02 
 2.5118864e+04  6.2771057e-01 -4.4840429e-02 
 3.1622777e+04  6.2605848e-01 -5.6319108e-02 
 3.9810717e+04  6.2345580e-01 -7.0640461e-02 
 5.0118723e+04  6.1936980e-01 -8.8415041e-02 
 6.3095734e+04  6.1299002e-01 -1.1029360e-01 
 7.9432823e+04  6.0311319e-01 -1.3687447e-01 
 1.0000000e+05  5.8802200e-01 -1.6851197e-01 
 1.2589254e+05  5.6542036e-01 -2.0497400e-01 
 1.5848932e+05  5.3256496e-01 -2.4492539e-01 
 1.9952623e+05  4.8681678e-01 -2.8534137e-01 
 2.5118864e+05  4.2679387e-01 -3.2123076e-01 
 3.1622777e+05  3.5390142e-01 -3.4631968e-01 
 3.9810717e+05  2.7325319e-01 -3.5508270e-01 
 5.0118723e+05  1.9272293e-01 -3.4531080e-01 
 6.3095734e+05  1.2014136e-01 -3.1930304e-01 
 7.9432823e+05  6.0524996e-02 -2.8261242e-01 
 1.0000000e+06  1.5188474e-02 -2.4146754e-01 
 1.2589254e+06 -1.7298023e-02 -2.0077312e-01 
 1.5848932e+06 -3.9578059e-02 -1.6345947e-01 
 1.9952623e+06 -5.4370363e-02 -1.3077418e-01 
 2.5118864e+06 -6.3928503e-02 -1.0286871e-01 
 3.1622777e+06 -6.9912021e-02 -7.9309976e-02 
 3.9810717e+06 -7.3446301e-02 -5.9418817e-02 
 5.0118723e+06 -7.5233042e-02 -4.2462469e-02 
 6.3095734e+06 -7.5650465e-02 -2.7756317e-02 
 7.9432823e+06 -7.4827183e-02 -1.4722701e-02 
 1.0000000e+07 -7.2696916e-02 -2.9403606e-03 
 1.2589254e+07 -6.9056378e-02  7.7968114e-03 
 1.5848932e+07 -6.3659882e-02  1.7415668e-02 
 1.9952623e+07 -5.6379333e-02  2.5536195e-02 
 2.5118864e+07 -4.7408908e-02  3.1559828e-02 
 3.1622777e+07 -3.7397498e-02  3.4926533e-02 
 3.9810717e+07 -2.7349306e-02  3.5448182e-02 
 5.0118723e+07 -1.8282861e-02  3.3480403e-02 
 6.3095734e+07 -1.0877863e-02  2.9786747e-02 
 7.9432823e+07 -5.3505352e-03  2.5224666e-02 
 1.0000000e+08 -1.5639011e-03  2.0495218e-02 
 1.2589254e+08  7.8674786e-04  1.6061291e-02 
 1.5848932e+08  2.0404440e-03  1.2183009e-02 
 1.9952623e+08  2.5145763e-03  8.9813314e-03 
 2.5118864e+08  2.4916902e-03  6.4802402e-03 
 3.1622777e+08  2.2100036e-03  4.6270272e-03 
 3.9810717e+08  1.8467087e-03  3.3132420e-03 
 5.0118723e+08  1.5084198e-03  2.4069475e-03 
 6.3095734e+08  1.2402909e-03  1.7850263e-03 
 7.9432823e+08  1.0477153e-03  1.3516023e-03 
 1.0000000e+09  9.1777664e-04  1.0408856e-03 
 1.2589254e+09  8.3334102e-04  8.1120411e-04 
 1.5848932e+09  7.7958010e-04  6.3703683e-04 
 1.9952623e+09  7.4566825e-04  5.0257391e-04 
 2.5118864e+09  7.2434587e-04  3.9757387e-04 
 3.1622777e+09  7.1094431e-04  3.1501566e-04 
 3.9810717e+09  7.0251568e-04  2.4983802e-04 
 5.0118723e+09  6.9721018e-04  1.9825716e-04 
 6.3095734e+09  6.9386814e-04  1.5737677e-04 
 7.9432823e+09  6.9176178e-04  1.2494745e-04 
 1.0000000e+10  6.9043370e-04  9.9206801e-05 
