 time                   v(signal)              v(out)                 i(vin)                
 0.000000000000000e+00  3.000000000000000e-01  3.000000000000000e-01  0.000000000000000e+00 
 1.000000000000000e-11  3.000000000000000e-01  3.000000000000001e-01  5.421010862427522e-20 
 2.000000000000000e-11  3.000000000000000e-01  3.000000000000002e-01  1.084202172485504e-19 
 4.000000000000000e-11  3.000000000000000e-01  3.000000000000003e-01  2.710505431213761e-19 
 8.000000000000001e-11  3.000000000000000e-01  3.000000000000003e-01  2.710505431213761e-19 
 1.600000000000000e-10  3.000000000000000e-01  3.000000000000002e-01  1.084202172485504e-19 
 3.200000000000000e-10  3.000000000000000e-01  3.000000000000003e-01  2.710505431213761e-19 
 6.400000000000001e-10  3.000000000000000e-01  3.000000000000003e-01  3.252606517456513e-19 
 1.280000000000000e-09  3.000000000000000e-01  3.000000000000003e-01  3.252606517456513e-19 
 2.280000000000000e-09  3.000000000000000e-01  3.000000000000003e-01  3.252606517456513e-19 
 3.280000000000000e-09  3.000000000000000e-01  3.000000000000003e-01  3.252606517456513e-19 
 4.280000000000000e-09  3.000000000000000e-01  3.000000000000003e-01  3.252606517456513e-19 
 5.280000000000000e-09  3.000000000000000e-01  3.000000000000003e-01  3.252606517456513e-19 
 6.280000000000000e-09  3.000000000000000e-01  3.000000000000003e-01  3.252606517456513e-19 
 7.280000000000000e-09  3.000000000000000e-01  3.000000000000003e-01  3.252606517456513e-19 
 8.280000000000000e-09  3.000000000000000e-01  3.000000000000003e-01  3.252606517456513e-19 
 9.280000000000001e-09  3.000000000000000e-01  3.000000000000003e-01  3.252606517456513e-19 
 1.028000000000000e-08  3.000000000000000e-01  3.000000000000003e-01  3.252606517456513e-19 
 1.128000000000000e-08  3.000000000000000e-01  3.000000000000003e-01  3.252606517456513e-19 
 1.228000000000000e-08  3.000000000000000e-01  3.000000000000003e-01  3.252606517456513e-19 
 1.328000000000000e-08  3.000000000000000e-01  3.000000000000003e-01  3.252606517456513e-19 
 1.428000000000000e-08  3.000000000000000e-01  3.000000000000003e-01  3.252606517456513e-19 
 1.528000000000001e-08  3.000000000000000e-01  3.000000000000003e-01  3.252606517456513e-19 
 1.628000000000000e-08  3.000000000000000e-01  3.000000000000003e-01  3.252606517456513e-19 
 1.728000000000000e-08  3.000000000000000e-01  3.000000000000003e-01  3.252606517456513e-19 
 1.828000000000000e-08  3.000000000000000e-01  3.000000000000003e-01  3.252606517456513e-19 
